sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,28,,良好,1,0.41,0.5,14.4,25,11,14,19.9,5.8,0.9,317,"2024/06/21 23:00:00",0.3,8.6,19,1,121.760056,25.129167,1
汐止,新北市,36,,良好,0.9,0.28,2.1,9.1,23,11,14.9,21.1,6.1,0.6,16,"2024/06/21 23:00:00",0.3,11.1,21,1,121.64081,25.06624,2
萬里,新北市,22,,良好,0,0.18,9.2,18.7,22,8,6.8,8.1,1.3,1.3,182,"2024/06/21 23:00:00",0.1,6.9,16,0,121.689881,25.179667,3
新店,新北市,36,,良好,0.5,0.25,10,20.4,25,11,6.3,8.8,2.4,1.6,181,"2024/06/21 23:00:00",0.3,11,19,0,121.537778,24.977222,4
土城,新北市,26,,良好,0.1,0.46,2.3,14.6,28,8,15.4,18,2.5,0.7,146,"2024/06/21 23:00:00",0.3,8.1,23,0,121.451861,24.982528,5
板橋,新北市,35,,良好,0.9,0.81,0.8,14,18,7,21.9,36.3,14.3,0.3,159,"2024/06/21 23:00:00",0.5,7.4,18,0,121.458667,25.012972,6
新莊,新北市,29,,良好,0,0.51,3,20.7,17,8,15.3,16.7,1.3,0.3,118,"2024/06/21 23:00:00",0.4,8.9,22,0,121.4325,25.037972,7
菜寮,新北市,35,,良好,0.3,0.52,4.9,16.2,14,8,15.4,18,2.5,1.5,129,"2024/06/21 23:00:00",0.5,10.7,18,0,121.481028,25.06895,8
林口,新北市,45,,良好,0.8,0.52,6.4,21.7,17,12,27.4,28.3,0.9,0.7,325,"2024/06/21 23:00:00",0.4,8.7,15,0,121.36548982,25.07798949,9
淡水,新北市,43,,良好,2.1,0.57,4.3,24.2,26,13,26.3,29.1,2.8,,,"2024/06/21 23:00:00",0.3,9.9,23,1,121.449239,25.1645,10
士林,臺北市,39,,良好,0.1,0.4,3.9,17.2,21,16,16.1,18.9,2.7,1.3,146,"2024/06/21 23:00:00",0.3,12,22,0,121.51666356,25.10334003,11
中山,臺北市,45,,良好,0.4,0.71,0,11.2,19,12,26.1,37.1,11,0.8,124,"2024/06/21 23:00:00",0.6,13.9,19,0,121.526528,25.062361,12
萬華,臺北市,25,,良好,,0.44,3.8,13.8,16,7,15.5,20.7,5.1,0.5,119,"2024/06/21 23:00:00",0.5,7.6,18,0,121.507972,25.046503,13
古亭,臺北市,30,,良好,0.3,0.31,5.7,12.8,17,6,11.2,13.6,2.4,0.2,172,"2024/06/21 23:00:00",0.4,9.3,19,0,121.529556,25.020608,14
松山,臺北市,,,,,,,,,,,,,,,"2024/06/21 23:00:00",,,,,121.578611,25.05,15
大同,臺北市,57,細懸浮微粒,普通,1.3,1.93,1.4,4.7,37,18,26,80.8,54.7,-,-,"2024/06/21 23:00:00",1.5,17.8,30,1,121.51342074,25.06331455,16
桃園,桃園市,47,,良好,3.6,0.61,5.2,24.1,28,13,28.3,30,1.6,1,189,"2024/06/21 23:00:00",0.4,9.4,21,1,121.30500531,24.9947107,17
大園,桃園市,17,,良好,0.3,0.18,12,18.3,9,4,7.2,8,0.7,1.7,230,"2024/06/21 23:00:00",0.1,2.9,8,0,121.20251473,25.06100357,18
觀音,桃園市,16,,良好,2,0.05,13.1,17.6,10,7,4.4,4.8,0.4,1.5,223,"2024/06/21 23:00:00",0,4.1,8,0,121.08283092,25.03556747,19
平鎮,桃園市,22,,良好,0,0.21,8.8,16.8,18,4,13.9,15,1,0.9,217,"2024/06/21 23:00:00",0.1,4.6,13,0,121.203986,24.952786,20
龍潭,桃園市,29,,良好,1.4,0.2,9,19.6,13,8,11.9,12.7,0.8,1.1,228,"2024/06/21 23:00:00",0.1,8.8,14,1,121.21645772,24.86400048,21
湖口,新竹縣,26,,良好,1.3,0.18,11.3,18.1,7,7,10.5,11.3,0.7,1.4,211,"2024/06/21 23:00:00",0.1,7.9,8,1,121.03886894,24.90009696,22
竹東,新竹縣,22,,良好,0.2,0.19,0.4,16.1,13,7,7.2,8.7,1.4,0.2,64,"2024/06/21 23:00:00",0.1,6.8,12,0,121.08895493,24.74091408,23
新竹,新竹市,23,,良好,1.2,0.28,9.4,15,12,6,14,15.1,1.1,1,230,"2024/06/21 23:00:00",0.2,2,8,0,120.97236752,24.8056356,24
頭份,苗栗縣,18,,良好,0.8,0.23,11,18.3,22,6,11.1,12.3,1.2,1.2,214,"2024/06/21 23:00:00",0.1,4.4,16,1,120.89869286,24.69690679,25
苗栗,苗栗縣,19,,良好,1.1,0.16,20,21.9,10,7,6.8,7.6,0.8,2.6,208,"2024/06/21 23:00:00",0.1,5.7,11,1,120.82011468,24.56499183,26
三義,苗栗縣,23,,良好,0.9,0.12,18.7,22.7,13,6,2.4,3.8,1.3,2.8,188,"2024/06/21 23:00:00",0.1,7.1,10,1,120.75956754,24.38248443,27
豐原,臺中市,25,,良好,1.1,0.15,22.3,27.7,21,6,4.1,5,0.9,1.9,177,"2024/06/21 23:00:00",0.1,6.3,15,1,120.74252414,24.25699731,28
沙鹿,臺中市,22,,良好,0.9,0.23,11.9,19.2,25,12,12.6,14,1.4,2.2,183,"2024/06/21 23:00:00",0.2,6.9,18,0,120.568794,24.225628,29
大里,臺中市,28,,良好,0.8,0.33,3.2,16.4,16,10,13.2,14.3,1.1,1.3,139,"2024/06/21 23:00:00",0.3,8.6,16,0,120.67844444,24.09961111,30
忠明,臺中市,20,,良好,0.6,0.25,11,19.5,21,6,10.3,11.8,1.5,1.7,158,"2024/06/21 23:00:00",0.2,6.1,16,0,120.641092,24.151958,31
西屯,臺中市,21,,良好,1.4,0.23,8.3,19.4,21,9,12.1,13.5,1.4,1.5,201,"2024/06/21 23:00:00",0.1,6.5,18,1,120.616917,24.162197,32
彰化,彰化縣,19,,良好,3,0.21,11.3,20.2,27,8,9.9,10.8,0.9,1.1,214,"2024/06/21 23:00:00",0.1,4.5,19,1,120.541519,24.066,33
線西,彰化縣,19,,良好,0.4,0.08,17.4,20.5,11,3,3,3.5,0.5,1.7,210,"2024/06/21 23:00:00",0,1.8,9,0,120.469061,24.131672,34
二林,彰化縣,27,,良好,0.8,0.11,11.1,17,16,9,4.6,4.8,0.2,1.7,237,"2024/06/21 23:00:00",0.1,8.2,16,1,120.409653,23.925175,35
南投,南投縣,25,,良好,0.5,0.16,4.8,18.3,26,5,6.1,7.6,1.5,0.2,163,"2024/06/21 23:00:00",0.1,7.6,20,0,120.685306,23.913,36
斗六,雲林縣,19,,良好,0.8,0.14,13.5,20.1,18,3,3.8,4.9,1.1,0.9,185,"2024/06/21 23:00:00",0.1,4.6,19,0,120.544994,23.711853,37
崙背,雲林縣,23,,良好,0.4,0.07,14.4,17.9,11,5,1,0.9,0,0.5,173,"2024/06/21 23:00:00",0,7.2,17,0,120.348742,23.757547,38
新港,嘉義縣,24,,良好,1.3,0.05,26.2,23.2,24,5,2.5,3.6,1,1.4,186,"2024/06/21 23:00:00",0,7.3,18,1,120.345531,23.554839,39
朴子,嘉義縣,23,,良好,0.4,0.13,15.2,15,17,2,2.5,5,2.4,1.2,178,"2024/06/21 23:00:00",0.1,3.7,23,0,120.2478,23.46538,40
臺西,雲林縣,19,,良好,0.6,0.08,16.6,21,11,0,1.4,1.8,0.4,2.5,214,"2024/06/21 23:00:00",0,2.7,10,0,120.19933333,23.702175,41
嘉義,嘉義市,16,,良好,1,0.14,13,17.4,13,4,6.5,6.8,0.3,1.4,191,"2024/06/21 23:00:00",0.1,4.1,16,1,120.44125148,23.46477865,42
新營,臺南市,14,,良好,0.3,0.14,11.5,15.8,13,4,4.9,6.5,1.6,1.2,202,"2024/06/21 23:00:00",0.1,2.6,14,0,120.31725,23.305633,43
善化,臺南市,26,,良好,0.1,0.1,9.2,15.8,17,11,5.1,6,0.8,1.6,159,"2024/06/21 23:00:00",0.1,8,17,0,120.29740529,23.11337642,44
安南,臺南市,20,,良好,0.3,0.15,13.1,17.3,8,5,3.6,4,0.4,2.9,180,"2024/06/21 23:00:00",0.1,6.2,12,0,120.2175,23.048197,45
臺南,臺南市,15,,良好,1,0.12,12.9,16.9,14,4,4.4,5.2,0.8,2.9,199,"2024/06/21 23:00:00",0.1,3.5,13,0,120.21947897,22.98928311,46
美濃,高雄市,21,,良好,0.7,0.11,15.5,23.5,14,4,2.6,3.5,0.8,1.6,175,"2024/06/21 23:00:00",0.1,6.5,18,0,120.530542,22.883583,47
橋頭,高雄市,16,,良好,0.8,0.11,15.2,15.6,10,4,6.2,7.3,1.1,1.3,196,"2024/06/21 23:00:00",0.1,5,11,1,120.305689,22.757506,48
仁武,高雄市,23,,良好,1.4,0.15,14.2,14.1,7,5,9.1,10,0.9,2.7,176,"2024/06/21 23:00:00",0.1,7,12,1,120.332631,22.689056,49
鳳山,高雄市,15,,良好,1.3,0.34,14.3,10.9,10,0,6.1,6.9,0.8,0.5,315,"2024/06/21 23:00:00",0.3,1,15,1,120.357422,22.628126,50
大寮,高雄市,20,,良好,0.4,0.07,16.1,16,11,2,1.3,1.9,0.6,2,184,"2024/06/21 23:00:00",0,6.1,17,0,120.425311,22.56413611,51
林園,高雄市,18,,良好,0.4,0.08,18.6,19.2,14,4,1.6,2,0.4,3.4,186,"2024/06/21 23:00:00",0,3.4,16,0,120.41175,22.4795,52
楠梓,高雄市,20,,良好,1.7,0.16,11.2,11.6,16,7,11.5,11.7,0.1,1.4,204,"2024/06/21 23:00:00",0.2,6.2,18,2,120.328289,22.733667,53
左營,高雄市,29,,良好,1.2,0.11,15.5,14.8,15,11,5.7,7,1.3,2.5,210,"2024/06/21 23:00:00",0.1,8.9,15,1,120.292917,22.674861,54
前金,高雄市,14,,良好,0.4,0.08,16.1,15.2,7,3,5.9,6.1,0.1,3.1,178,"2024/06/21 23:00:00",0.1,3.5,12,0,120.28676111,22.63390278,56
前鎮,高雄市,13,,良好,1.5,0.2,11.9,13.8,13,1,8,11,3,1,160,"2024/06/21 23:00:00",0.1,1.5,12,2,120.30833356,22.6044507,57
小港,高雄市,12,,良好,0.5,0.07,17.4,13.9,7,3,3.2,3.9,0.7,2.3,159,"2024/06/21 23:00:00",0.1,2.8,7,2,120.337736,22.565833,58
屏東,屏東縣,16,,良好,0.4,0.17,15.7,17.7,12,4,4,4.8,0.7,0.9,165,"2024/06/21 23:00:00",0.2,2.8,15,0,120.488033,22.673081,59
潮州,屏東縣,16,,良好,0.4,0.08,8.6,16.2,20,3,4.2,4.1,0,0.9,54,"2024/06/21 23:00:00",0,3.1,16,0,120.561175,22.523108,60
恆春,屏東縣,16,,良好,0.5,0.09,13.9,17.8,3,2,0.9,1.1,0.1,1.2,120,"2024/06/21 23:00:00",0,3.2,6,0,120.788928,21.958069,61
臺東,臺東縣,13,,良好,1,0.14,14.9,14.1,10,1,3.8,4.8,1,0.2,211,"2024/06/21 23:00:00",0.2,1.9,12,1,121.15045,22.755358,62
花蓮,花蓮縣,16,,良好,0,0.14,5.5,15.1,17,4,3.2,3.5,0.3,1.2,228,"2024/06/21 23:00:00",0.1,3.9,16,0,121.599769,23.971306,63
陽明,臺北市,29,,良好,0.6,0.21,16.8,26.7,17,12,6.4,7,0.5,,,"2024/06/21 23:00:00",0.1,9,14,0,121.529583,25.182722,64
宜蘭,宜蘭縣,18,,良好,0.6,0.17,14.6,17.8,14,0,3.8,4.6,0.7,1,336,"2024/06/21 23:00:00",0.1,3.9,18,0,121.746394,24.747917,65
冬山,宜蘭縣,23,,良好,0.1,0.19,5.1,13.4,,9,5.3,6.2,0.8,0.7,199,"2024/06/21 23:00:00",0.1,7,,0,121.792928,24.632203,66
三重,新北市,47,,良好,0.3,1.06,1.4,8.1,21,11,22.3,53,30.6,-,-,"2024/06/21 23:00:00",1.1,14.4,23,0,121.493806,25.072611,67
